2025-05-09_08:14:08.357 [main] INFO  com.server.ServerApplication - Starting ServerApplication using Java 21.0.5 with PID 21832 (C:\Users\Manjesh-Rayamajhi\Desktop\Blog-microservice\server\build\classes\java\main started by Manjesh-Rayamajhi in C:\Users\Manjesh-Rayamajhi\Desktop\Blog-microservice)
2025-05-09_08:14:08.365 [main] INFO  com.server.ServerApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-09_08:14:09.309 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=f094479d-ce74-39f7-8dd6-5aa19d20ca03
2025-05-09_08:14:09.525 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8761 (http)
2025-05-09_08:14:09.544 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8761"]
2025-05-09_08:14:09.546 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-05-09_08:14:09.546 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.40]
2025-05-09_08:14:09.605 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-09_08:14:09.606 [main] INFO  o.s.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1175 ms
2025-05-09_08:14:10.392 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2025-05-09_08:14:10.393 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2025-05-09_08:14:10.543 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2025-05-09_08:14:10.543 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2025-05-09_08:14:10.677 [main] INFO  o.springframework.validation.beanvalidation.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-05-09_08:14:11.272 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-05-09_08:14:11.286 [main] INFO  org.springframework.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2025-05-09_08:14:11.302 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2025-05-09_08:14:11.302 [main] INFO  com.netflix.discovery.DiscoveryClient - Client configured to neither register nor query for data.
2025-05-09_08:14:11.304 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1746757751303 with initial instances count: 0
2025-05-09_08:14:11.342 [main] INFO  com.netflix.eureka.DefaultEurekaServerContext - Initializing ...
2025-05-09_08:14:11.343 [main] WARN  com.netflix.eureka.cluster.PeerEurekaNodes - The replica size seems to be empty. Check the route 53 DNS Registry
2025-05-09_08:14:11.353 [main] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Finished initializing remote region registries. All known remote regions: []
2025-05-09_08:14:11.353 [main] INFO  com.netflix.eureka.DefaultEurekaServerContext - Initialized
2025-05-09_08:14:11.360 [main] INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-05-09_08:14:11.406 [main] INFO  o.s.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Registering application SERVER with eureka with status UP
2025-05-09_08:14:11.407 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8761"]
2025-05-09_08:14:11.416 [Thread-9] INFO  org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap - isAws returned false
